City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Doka,SD,90.28,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
554,Kirakira,SB,80.58,broken clouds,-10.4544,161.9205,SanBiz Lodge
557,Pochutla,MX,87.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
561,Acarau,BR,79.43,broken clouds,-2.8856,-40.12,castelo pizzaria
563,Las Cruces,US,79.0,clear sky,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
568,Santa Vitoria Do Palmar,BR,71.01,broken clouds,-33.5189,-53.3681,Hostel Comodoro
571,Villa Maria,AR,87.53,clear sky,-32.4075,-63.2402,Hotel Milenium
573,Pandan,PH,80.71,broken clouds,14.0453,124.1694,Bonifacio Lodge
574,Zabid,YE,88.86,overcast clouds,14.1951,43.3152,مغرب التريبه
577,Pahrump,US,84.25,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
579,Luwuk,ID,78.55,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
580,General Pico,AR,84.65,clear sky,-35.6566,-63.7568,Euskadi Hotel
581,Florianopolis,BR,76.23,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
583,Bonanza,NI,79.77,scattered clouds,14.0289,-84.591,Edificio Administrativo HEMCO
586,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
587,Agrado,CO,84.33,broken clouds,2.2573,-75.7714,Edificio San Diego
588,Oeiras,BR,86.32,broken clouds,-7.0253,-42.1311,Hotel SESC Oeiras
594,Obera,AR,85.62,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
597,Xuddur,SO,75.34,overcast clouds,4.1213,43.8894,Banjanay Hotel
599,Balkanabat,TM,71.38,overcast clouds,39.5108,54.3671,Nebitchi Hotel
600,Russell,US,79.88,scattered clouds,32.3502,-85.1999,Macs
601,Kisangani,CD,71.74,overcast clouds,0.5167,25.2,Grand Ramela Hotel
602,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
603,Tibati,CM,72.39,light rain,6.4667,12.6333,Tibati Hotel
604,Santarem,BR,84.33,few clouds,-2.4431,-54.7083,Hotel Imperador
605,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
609,Jacareacanga,BR,89.98,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
611,Sumbe,AO,76.62,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
612,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
613,Turayf,SA,71.85,scattered clouds,31.6725,38.6637,Turaif
614,Mbaiki,CF,72.88,overcast clouds,3.8678,17.9892,Motel MBM
616,Takoradi,GH,81.03,broken clouds,4.8845,-1.7554,Raybow International Hotel
619,Ascension,US,81.09,broken clouds,30.2169,-90.9001,Highland Inn
621,Loandjili,CG,78.67,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
622,Labuan,MY,79.16,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
623,Chikwawa,MW,71.83,broken clouds,-16.0335,34.8009,Thawale Lodge
625,Carauari,BR,74.05,overcast clouds,-4.8828,-66.8958,Hotel Fellip
627,Vao,NC,74.25,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
628,Pacific Grove,US,70.02,scattered clouds,36.6177,-121.9166,Lovers Point Inn
629,Kloulklubed,PW,77.29,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
632,Mangochi,MW,70.86,broken clouds,-14.4782,35.2645,Fort Johnstone Hotel
635,Kraksaan,ID,78.06,overcast clouds,-7.7585,113.3962,Asrama Hati
636,Bangui,CF,77.36,broken clouds,4.3612,18.555,SAM HOTEL
639,Essau,GM,84.36,scattered clouds,13.4839,-16.5347,Jawara kunda
641,Luganville,VU,79.2,light rain,-15.5333,167.1667,The Espiritu Hotel
643,Chimbote,PE,71.42,few clouds,-9.0853,-78.5783,Hotel Briliá
646,Benguela,AO,75.45,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
649,Neiafu,TO,72.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
652,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
655,Noumea,NC,73.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
656,Waingapu,ID,74.95,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
657,Palu,ID,75.18,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
658,San Rafael,AR,79.39,clear sky,-34.6177,-68.3301,Hotel San Rafael
659,Roebourne,AU,79.54,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
660,Santo Augusto,BR,77.4,broken clouds,-27.8508,-53.7772,Hotel Marco Polo
661,Gulfport,US,78.85,overcast clouds,30.3674,-89.0928,Courtyard by Marriott Gulfport Beachfront
662,Tateyama,JP,70.11,mist,34.9833,139.8667,Tateyama Seaside Hotel
664,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
665,Tabuk,PH,74.62,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
666,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
671,Mocajuba,BR,78.08,moderate rain,-2.5842,-49.5072,Hotel Saylon Mocajuba
677,Ternate,ID,80.85,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
679,Dakar,SN,74.28,clear sky,14.6937,-17.4441,Novotel Dakar
683,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
691,Banjar,ID,76.41,overcast clouds,-8.19,114.9675,The Hamsa Resort
692,Dubai,AE,89.53,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
695,Acajutla,SV,87.67,broken clouds,13.5928,-89.8275,Laureles
696,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
698,Ayapel,CO,89.08,overcast clouds,8.3137,-75.1398,Hotel Colsama
701,Placerville,US,70.52,clear sky,38.7296,-120.7986,Historic Cary House Hotel
706,Kavaratti,IN,85.03,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
710,Bijapur,IN,90.63,overcast clouds,16.8333,75.7,Rajdhani Lodge
714,Balabac,PH,81.09,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
718,Baisha,CN,70.3,broken clouds,26.5222,110.9311,Xiangcun Old Place Hotel
720,Boulder City,US,85.33,clear sky,35.9786,-114.8325,Boulder Dam Hotel
721,Casas Grandes,MX,80.44,few clouds,30.3667,-107.95,Pueblo del Soul B&B
725,Itarema,BR,78.73,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
