City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
349,Moron,AR,76.69,overcast clouds,-34.6534,-58.6198,Hotel Morón
357,Santander Jimenez,MX,77.59,overcast clouds,24.2167,-98.4667,Papas inc
358,Hambantota,LK,81.01,broken clouds,6.1241,81.1185,Bungalow 63
359,Jalingo,NG,85.62,light rain,8.8833,11.3667,Debright Motel
363,Trincomalee,LK,82.51,overcast clouds,8.5711,81.2335,Welcombe Hotel
365,Jiazi,CN,80.1,overcast clouds,22.8779,116.067,Hotel Jin Hao
366,Barra Da Estiva,BR,72.5,scattered clouds,-13.6261,-41.3269,Pousada Central
367,Namatanai,PG,80.17,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
369,Hualmay,PE,72.37,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
370,Santa Cruz Cabralia,BR,82.63,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
371,Mexico,PH,80.31,few clouds,15.0646,120.7198,stone place
372,Saint-Joseph,RE,72.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
375,Alta Floresta,BR,94.82,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
382,Laguna,US,75.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
384,Villa Carlos Paz,AR,91.38,clear sky,-31.4241,-64.4978,Monte Carlo vcp
386,Sibolga,ID,77.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
387,Padang,ID,78.67,overcast clouds,-0.9492,100.3543,Mercure Padang
388,Half Moon Bay,US,70.54,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
390,Gizo,SB,82.49,broken clouds,-8.103,156.8419,Imagination Island
392,Chongoyape,PE,86.36,overcast clouds,-6.6406,-79.3892,Hostal Mulato & Chaparri
396,Kutum,SD,80.4,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
397,Kaele,CM,92.01,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
398,Nazare Da Mata,BR,79.2,overcast clouds,-7.7417,-35.2278,Hotel Santa Inêz
404,Eyl,SO,81.86,scattered clouds,7.9803,49.8164,Amiin Hotel
407,Pedernales,DO,81.48,broken clouds,18.0384,-71.744,Hotel Costa Marina
409,Sinnamary,GF,81.66,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
411,Moa,CU,79.88,few clouds,20.6569,-74.9403,Carmen
416,Muncar,ID,75.51,overcast clouds,-8.4333,114.3333,Zaky Homestay
417,Ayer Keroh,MY,80.35,few clouds,2.2566,102.2866,Kings Hotel Melaka
418,Tete,MZ,77.09,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
419,Koronadal,PH,75.18,light rain,6.5031,124.8469,Dolores Farm Resort
425,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
433,Lafayette,US,79.92,few clouds,30.2335,-92.0668,"Drury Inn & Suites Lafayette, LA"
434,Alyangula,AU,75.07,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
435,Diego De Almagro,CL,70.47,overcast clouds,-26.3667,-70.05,hotel luna del desierto
439,Tura,IN,73.63,light rain,25.5198,90.2201,Hotel RIKMAN Continental
440,Sur,OM,87.26,clear sky,22.5667,59.5289,Sur Plaza Hotel
442,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
447,Bilma,NE,90.25,clear sky,18.6853,12.9164,Expeditions Ténére voyages
448,Awbari,LY,83.64,overcast clouds,26.5921,12.7805,فندق أوباري
449,Barra Dos Coqueiros,BR,84.22,scattered clouds,-10.9089,-37.0386,Quality Hotel Aracaju
452,Aquiraz,BR,84.29,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
453,Jeremie,HT,80.98,clear sky,18.65,-74.1167,Auberge’Inn
458,Daru,PG,79.86,overcast clouds,-9.0763,143.2092,Daru Lodge
461,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
463,San Fernando,PH,80.33,few clouds,15.0286,120.6898,Maharlika Hostel
464,Kieta,PG,79.07,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
468,Ambon,ID,81.21,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
471,Atambua,ID,70.84,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
472,Abu Zabad,SD,90.81,overcast clouds,12.35,29.25,حامد محمد نور
473,Janakpur,NP,83.64,few clouds,26.7183,85.9065,Hotel Sita Palace
475,Hirara,JP,78.8,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
479,Pontian Kecil,MY,77.32,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
482,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
483,Morondava,MG,78.42,overcast clouds,-20.2833,44.2833,La Case Bambou
484,Avanigadda,IN,83.14,clear sky,16.0215,80.9181,AP Camping
