City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Havelock,US,34.8791,-76.9013,86.02,74,20,12.66,few clouds
135,Clyde River,CA,70.4692,-68.5914,17.83,93,100,31.07,heavy snow
136,Tuatapere,NZ,-46.1333,167.6833,51.69,90,100,6.78,overcast clouds
137,Sahuaripa,MX,29.05,-109.2333,98.62,10,0,9.04,clear sky
138,Maniitsoq,GL,65.4167,-52.9,31.91,98,100,34.63,snow
139,Shimanovsk,RU,52.0,127.7,30.18,67,10,9.93,clear sky
140,Herbrechtingen,DE,48.6217,10.176,46.54,82,100,7.14,overcast clouds
141,Te Anau,NZ,-45.4167,167.7167,44.71,90,42,0.43,scattered clouds
142,Brae,GB,60.3964,-1.353,42.08,62,93,9.89,overcast clouds
143,Maryville,US,35.7565,-83.9705,65.12,89,100,3.44,overcast clouds
144,Algeciras,ES,36.1333,-5.4505,62.28,55,40,6.91,scattered clouds
145,Xining,CN,36.6167,101.7667,52.86,46,14,5.19,few clouds
146,Mogadishu,SO,2.0371,45.3438,82.74,74,71,8.7,broken clouds
147,Buala,SB,-8.145,159.5921,80.35,80,82,3.78,light rain
148,Marawi,PH,7.9986,124.2928,69.66,92,100,1.79,overcast clouds
149,Mankono,CI,8.0586,-6.1897,81.07,55,100,5.14,overcast clouds
150,Monroe,US,43.1501,-77.6831,51.49,66,100,13.8,overcast clouds
151,Rodbyhavn,DK,54.6544,11.352,50.14,63,51,7.16,broken clouds
152,Batemans Bay,AU,-35.7167,150.1833,62.1,91,100,2.82,overcast clouds
153,Katangli,RU,51.7102,143.2326,28.85,97,100,27.27,snow
154,Palomares,MX,17.15,-95.0667,90.84,42,88,12.26,overcast clouds
155,Malindi,KE,-3.2175,40.1191,80.56,80,100,12.86,overcast clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,83,0,16.11,clear sky
157,Butaritari,KI,3.0707,172.7902,81.01,83,35,19.19,light rain
158,Codrington,AU,-38.2667,141.9667,59.9,77,100,9.37,overcast clouds
159,Roma,US,43.2128,-75.4557,51.96,76,100,11.01,overcast clouds
160,Finschhafen,PG,-6.6024,147.8681,79.97,82,25,5.19,scattered clouds
161,Santa Maria,BR,-29.6842,-53.8069,72.7,88,75,5.75,broken clouds
162,Bandarbeyla,SO,9.4942,50.8122,81.81,76,5,7.45,clear sky
163,Grindavik,IS,63.8424,-22.4338,46.35,76,75,4.61,broken clouds
164,Nikolskoye,RU,59.7035,30.7861,41.88,78,84,7.16,broken clouds
165,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,10.36,light rain
166,Kouango,CF,4.9934,19.9619,74.37,80,88,4.25,overcast clouds
167,Villa Corona,MX,20.4167,-103.6833,91.33,9,0,4.59,clear sky
168,Yablonovo,RU,50.8523,37.3574,54.25,82,27,7.09,scattered clouds
169,Sambava,MG,-14.2667,50.1667,73.31,86,82,7.2,broken clouds
170,Beloha,MG,-25.1667,45.05,71.94,84,100,11.32,overcast clouds
171,Oswego,US,43.4501,-76.1497,51.94,70,100,5.01,overcast clouds
172,Batesville,US,35.7698,-91.641,65.08,23,0,8.05,clear sky
173,Kodiak,US,57.79,-152.4072,45.91,53,100,12.66,overcast clouds
174,Hofn,IS,64.2539,-15.2082,45.97,81,17,11.68,few clouds
175,Nome,US,64.5011,-165.4064,36.16,92,0,0.0,clear sky
176,Cidreira,BR,-30.1811,-50.2056,72.28,86,11,10.56,few clouds
177,Nuevo Casas Grandes,MX,30.4167,-107.9167,79.75,32,13,10.0,few clouds
178,Sharlyk,RU,52.9167,54.75,55.67,61,99,9.1,overcast clouds
179,Hasaki,JP,35.7333,140.8333,72.28,87,100,32.84,light rain
180,Isangel,VU,-19.55,169.2667,76.37,56,100,14.23,overcast clouds
181,Vranje,RS,42.5514,21.9003,53.85,79,10,4.0,clear sky
182,Kavieng,PG,-2.5744,150.7967,82.96,77,4,14.2,clear sky
183,Muros,ES,42.7762,-9.0603,58.84,85,87,6.82,overcast clouds
184,Kruisfontein,ZA,-34.0033,24.7314,54.88,93,0,7.34,clear sky
185,Chadiza,ZM,-14.0678,32.4392,62.42,91,70,4.63,broken clouds
186,Camopi,GF,3.1655,-52.3158,78.98,93,99,2.86,overcast clouds
187,Kamariotissa,GR,40.4833,25.4667,61.93,82,0,10.98,clear sky
188,Esperance,AU,-33.8667,121.9,58.84,66,1,6.87,clear sky
189,Goderich,CA,43.7501,-81.7165,40.91,87,100,12.66,overcast clouds
190,Qaanaaq,GL,77.484,-69.3632,16.56,76,31,3.44,scattered clouds
191,Tonekabon,IR,36.8163,50.8738,60.75,78,36,1.97,scattered clouds
192,Portland,US,45.5234,-122.6762,55.53,73,75,13.0,broken clouds
193,Ashland,US,40.8167,-82.2665,46.36,56,85,16.22,overcast clouds
194,Mbekenyera,TZ,-10.0,38.9833,70.07,97,100,2.84,light rain
195,Upernavik,GL,72.7868,-56.1549,30.2,74,92,6.67,overcast clouds
196,Lac Du Bonnet,CA,50.2536,-96.0612,34.75,65,40,5.12,scattered clouds
197,Healdsburg,US,38.6105,-122.8692,74.98,42,0,6.91,clear sky
198,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,81,75,4.61,broken clouds
199,Taitung,TW,22.7583,121.1444,78.87,72,25,6.46,scattered clouds
200,Hobyo,SO,5.3505,48.5268,84.15,64,45,10.2,scattered clouds
201,Yumen,CN,40.2833,97.2,47.44,21,100,3.51,overcast clouds
202,Chernyshevskiy,RU,63.0128,112.4714,8.82,97,78,3.27,broken clouds
203,Indiana,US,40.0003,-86.2503,54.59,57,75,12.66,broken clouds
204,Xichang,CN,27.8964,102.2634,59.83,82,3,1.99,clear sky
205,Timmins,CA,48.4669,-81.3331,24.62,58,100,10.36,overcast clouds
206,Illapel,CL,-31.6308,-71.1653,67.28,52,45,17.31,scattered clouds
207,Vila Velha,BR,-20.3297,-40.2925,84.15,84,20,10.36,few clouds
208,Krasnoselkup,RU,65.7,82.4667,14.65,90,87,8.99,overcast clouds
209,Nishihara,JP,26.1842,127.7558,77.05,97,100,18.41,overcast clouds
210,Lima,PE,-12.0432,-77.0282,73.38,81,0,9.22,clear sky
211,Bethel,US,41.3712,-73.414,56.62,91,100,1.01,overcast clouds
212,Ahuimanu,US,21.4447,-157.8378,78.51,74,100,13.8,overcast clouds
213,Lompoc,US,34.6391,-120.4579,77.02,64,0,25.01,clear sky
214,Coihaique,CL,-45.5752,-72.0662,41.61,75,100,9.22,shower rain
215,Marsabit,KE,2.3284,37.9899,65.62,85,100,10.02,light rain
216,Fairbanks,US,64.8378,-147.7164,44.94,61,20,8.05,few clouds
217,San Quintin,MX,30.4833,-115.95,68.77,59,100,12.97,overcast clouds
218,Tatarsk,RU,55.219,75.9828,45.45,66,40,4.41,scattered clouds
219,Mecca,SA,21.4267,39.8261,85.64,34,0,2.82,clear sky
220,Chokurdakh,RU,70.6333,147.9167,4.95,98,100,6.42,overcast clouds
221,Saint George,US,37.1041,-113.5841,85.62,8,0,5.75,clear sky
222,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,16.31,clear sky
223,Lashio,MM,22.9333,97.75,66.47,43,0,1.5,clear sky
224,Buchanan,LR,5.8808,-10.0467,81.1,84,100,7.76,overcast clouds
225,Changde,CN,29.0464,111.6783,70.36,86,21,2.75,few clouds
226,Caravelas,BR,-17.7125,-39.2481,78.58,73,0,5.55,clear sky
227,Acapulco,MX,16.8634,-99.8901,85.82,66,0,10.36,clear sky
228,Rajauri,IN,33.3833,74.3,71.22,33,0,7.52,clear sky
229,Sulangan,PH,11.1373,123.7228,81.72,80,100,11.18,overcast clouds
230,Cabo San Lucas,MX,22.8909,-109.9124,88.61,30,0,11.5,clear sky
231,Ancud,CL,-41.8697,-73.8203,42.22,70,100,16.04,light rain
